accession,gene_name,condition,condition_label,mean_abundance,cv_pct,log2fc,detected,hcp_risk,abundance_rank
G3ICU7,UNKNOWN,control,Control (Standard),29002.886823333334,3.84,,3,Medium,81
G3H877,UNKNOWN,control,Control (Standard),27000.345446666663,2.43,,3,Medium,80
G3HW73,UNKNOWN,control,Control (Standard),5940.491947666666,5.96,,3,Low,254
G3H2D0,PPP2CA,control,Control (Standard),8443.160762666666,9.41,,3,Medium,233
G3H5L9,NOD2,control,Control (Standard),3228.0944230666664,84.39,,3,Medium,134
G3IAQ4,ABHD2,control,Control (Standard),11393.013421999998,7.61,,3,Medium,276
G3HFW3,UNKNOWN,control,Control (Standard),47919.17894333333,5.07,,3,Medium,94
G3HH12,UNKNOWN,control,Control (Standard),30780.597786666665,2.82,,3,Medium,99
G3H6P9,MSMO1,control,Control (Standard),8634.641581000002,4.49,,3,Low,215
G3GVP9,UNKNOWN,control,Control (Standard),12428.670644333333,4.02,,3,Medium,234
G3I302,UNKNOWN,control,Control (Standard),31391.418550000002,9.01,,3,Medium,126
G3H7D3,UNKNOWN,control,Control (Standard),7466.738342666667,10.51,,3,Medium,268
G3I7P2,GPRIN3,control,Control (Standard),24145.505413333332,2.44,,3,Medium,148
G3GX48,HRH1,control,Control (Standard),13941.169335333334,5.0,,3,Medium,211
G3HQS4,UNKNOWN,control,Control (Standard),32753.21733,12.96,,3,Medium,127
G3I4Y3,UNKNOWN,control,Control (Standard),81559.43581333333,4.26,,3,Medium,60
G3IP09,UNKNOWN,control,Control (Standard),6111.14575,2.68,,3,Medium,337
G3HKV2,UNKNOWN,control,Control (Standard),12606.057036333334,1.91,,3,Medium,277
G3HD62,FAM110B,control,Control (Standard),38008.842020000004,0.89,,3,Medium,132
G3H3P6,ARHGAP12,control,Control (Standard),35467.05235333333,2.76,,3,Medium,128
G3I4K9,LOC100757535,control,Control (Standard),24867.00281,7.82,,3,Medium,142
G3HIH5,UNKNOWN,control,Control (Standard),6091.474939333333,11.7,,3,Medium,368
G3HSA3,UNKNOWN,control,Control (Standard),3527.8971346666663,8.67,,3,Medium,405
G3H1Q5,UNKNOWN,control,Control (Standard),36383.53505666667,4.78,,3,Medium,118
G3I5J5,UNKNOWN,control,Control (Standard),22645.294478666667,19.05,,3,Medium,145
